Generated on DKR10 at https://github.com/polgreen/BaeVer/commit/e657bde4879526c0533e9fb3e40e34a4b666374a,
model, modelnum, one, p1, p2, num of traces, trace length, integration samples, strategy, confidence, p1 count, inv_p1 count, p2 count, inv_p2 counts,
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 70 , 192 , 837 , 2423 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 52 , 160 , 830 , 2493 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 55 , 166 , 801 , 2465 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 19 , 84 , 893 , 2632 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 48 , 149 , 834 , 2487 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 37 , 126 , 848 , 2535 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 111 , 279 , 763 , 2228 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 79 , 220 , 767 , 2350 , 
MDP , 3 , 1 , 0.25 , 0.25 , 1000 , 10 , 10000 , 0 , 0 , 66 , 185 , 807 , 2414 , 
MDP , 3 , 1 , 0.3 , 0.3 , 1000 , 10 , 10000 , 0 , 0 , 96 , 249 , 960 , 2283 , 
MDP , 3 , 1 , 0.3 , 0.3 , 1000 , 10 , 10000 , 0 , 0 , 128 , 305 , 952 , 2175 , 
MDP , 3 , 1 , 0.3 , 0.3 , 1000 , 10 , 10000 , 0 , 0 , 129 , 307 , 925 , 2178 , 
MDP , 3 , 1 , 0.3 , 0.3 , 1000 , 10 , 10000 , 0 , 0 , 43 , 143 , 1047 , 2460 , 
MDP , 3 , 1 , 0.3 , 0.3 , 1000 , 10 , 10000 , 0 , 0 , 34 , 118 , 1024 , 2494 , 
MDP , 3 , 1 , 0.3 , 0.3 , 1000 , 10 , 10000 , 0 , 0.0001 , 70 , 191 , 1037 , 2350 , 
MDP , 3 , 1 , 0.3 , 0.3 , 1000 , 10 , 10000 , 0 , 0 , 125 , 304 , 949 , 2182 , 
MDP , 3 , 1 , 0.3 , 0.3 , 1000 , 10 , 10000 , 0 , 0 , 30 , 108 , 1051 , 2537 , 
MDP , 3 , 1 , 0.3 , 0.3 , 1000 , 10 , 10000 , 0 , 0 , 88 , 229 , 951 , 2326 , 
MDP , 3 , 1 , 0.3 , 0.3 , 1000 , 10 , 10000 , 0 , 0 , 141 , 326 , 900 , 2099 , 
MDP , 3 , 1 , 0.3 , 0.3 , 1000 , 10 , 10000 , 0 , 0 , 177 , 400 , 886 , 1994 , 
MDP , 3 , 1 , 0.3 , 0.3 , 1000 , 10 , 10000 , 0 , 0 , 130 , 307 , 899 , 2167 , 
MDP , 3 , 1 , 0.3 , 0.3 , 1000 , 10 , 10000 , 0 , 0.0001 , 315 , 646 , 633 , 1489 , 
MDP , 3 , 1 , 0.3 , 0.3 , 1000 , 10 , 10000 , 0 , 0 , 219 , 475 , 767 , 1883 , 
MDP , 3 , 1 , 0.3 , 0.3 , 1000 , 10 , 10000 , 0 , 0 , 144 , 342 , 858 , 2110 , 
MDP , 3 , 1 , 0.3 , 0.3 , 1000 , 10 , 10000 , 0 , 0.8246 , 4 , 2 , 1172 , 2699 , 
MDP , 3 , 1 , 0.3 , 0.3 , 1000 , 10 , 10000 , 0 , 0 , 143 , 326 , 819 , 2143 , 
MDP , 3 , 1 , 0.3 , 0.3 , 1000 , 10 , 10000 , 0 , 0 , 226 , 502 , 815 , 1802 , 
MDP , 3 , 1 , 0.3 , 0.3 , 1000 , 10 , 10000 , 0 , 0 , 21 , 88 , 1064 , 2517 , 
