Generated on DKR11 at https://github.com/polgreen/BaeVer/tree/210b1ebd4dfb5639cc9ebc4c0fc59eeb63f5eb20,
model, modelnum, one, p1, p2, num of traces, trace length, integration samples, strategy, confidence, p1 count, inv_p1 count, p2 count, inv_p2 counts,
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0 , 11 , 58 , 14 , 25 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0 , 13 , 70 , 3 , 34 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.001 , 16 , 60 , 12 , 34 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0004 , 13 , 57 , 8 , 34 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0024 , 13 , 49 , 9 , 23 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0006 , 14 , 55 , 9 , 31 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0002 , 17 , 66 , 8 , 44 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0 , 8 , 54 , 6 , 29 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0 , 11 , 56 , 11 , 40 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0007 , 18 , 65 , 6 , 38 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0069 , 22 , 65 , 10 , 34 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0001 , 13 , 61 , 9 , 36 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0004 , 15 , 59 , 13 , 43 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0 , 16 , 69 , 13 , 33 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0159 , 18 , 52 , 19 , 31 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0117 , 20 , 58 , 7 , 32 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0 , 12 , 60 , 3 , 29 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0001 , 20 , 75 , 7 , 25 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0002 , 15 , 61 , 11 , 39 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.002 , 17 , 59 , 5 , 26 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0117 , 17 , 51 , 10 , 25 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0009 , 14 , 56 , 9 , 36 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0002 , 15 , 62 , 10 , 29 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0083 , 16 , 50 , 3 , 31 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0138 , 19 , 54 , 10 , 34 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0 , 9 , 67 , 5 , 31 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0002 , 15 , 67 , 10 , 33 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0 , 7 , 56 , 12 , 39 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0267 , 22 , 58 , 7 , 29 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0094 , 21 , 61 , 5 , 25 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0 , 16 , 70 , 8 , 30 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0001 , 16 , 65 , 9 , 23 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0.0006 , 14 , 55 , 10 , 31 , 
MDP , 1 , 1 , 0.2 , 0.2 , 100 , 10 , 10000 , 3 , 0 , 9 , 56 , 8 , 30 , 
MDP , 1 , 1 , 0.25 , 0.25 , 100 , 10 , 10000 , 3 , 0 , 16 , 65 , 11 , 35 , 
MDP , 1 , 1 , 0.25 , 0.25 , 100 , 10 , 10000 , 3 , 0.0001 , 14 , 63 , 9 , 21 , 
MDP , 1 , 1 , 0.25 , 0.25 , 100 , 10 , 10000 , 3 , 0.0053 , 16 , 52 , 8 , 22 , 
MDP , 1 , 1 , 0.25 , 0.25 , 100 , 10 , 10000 , 3 , 0.0024 , 18 , 60 , 10 , 26 , 
MDP , 1 , 1 , 0.25 , 0.25 , 100 , 10 , 10000 , 3 , 0.0164 , 24 , 65 , 13 , 31 , 
MDP , 1 , 1 , 0.25 , 0.25 , 100 , 10 , 10000 , 3 , 0.0198 , 19 , 53 , 15 , 31 , 
